MS SubClass,Lot Frontage,Lot Area,HouseStyle_MedianPrice,BldgType_MedianPrice,Neighborhood_MedianPrice,Combo_PriceMean,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,SalePrice,hasPool,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,Paved_Street,Fence_Quality,MasVnr_Quality,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,Garage_Age,GarageFinish_encoded,Garage_Cond,Garage_Qual,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Has_Good_BsmtFin1,Has_Good_BsmtFin2,MSZoning_encoded,Has_Iregular_Lot_Shape,Land_Contour,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,GoodCond1,BadCond1,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,RoofMatl_CompShg,RoofMatl_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,Central_Air,Kitchen_Qual,PavedDrive_Full,PavedDrive_Partial,Heating_QC,Heating_GasA,Exter_Qual,Exter_Cond,Exterior1st_Simp_BrkFace,Exterior1st_Simp_CemntBd,Exterior1st_Simp_HdBoard,Exterior1st_Simp_MetalSd,Exterior1st_Simp_Other,Exterior1st_Simp_Plywood,Exterior1st_Simp_VinylSd,Exterior1st_Simp_Wd Sdng,Exterior2nd_Simp_CmentBd,Exterior2nd_Simp_HdBoard,Exterior2nd_Simp_MetalSd,Exterior2nd_Simp_Other,Exterior2nd_Simp_Plywood,Exterior2nd_Simp_VinylSd,Exterior2nd_Simp_Wd Sdng,Exterior2nd_Simp_Wd Shng,Functional_Encoded,SaleType_Best,SaleType_Good,SaleType_Average,SaleType_Low,SaleCond_High,SaleCond_Typical,SaleCond_Low
60,75.0,10000,189000.0,165000.0,183000.0,185000.0,6,5,1993,1994,0.0,0.0,0.0,763.0,763.0,5,763,892,0,1655,0.0,0.0,2,1,3,1,7,1,2.0,440.0,157,84,0,0,0,4,2010,175900,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,17.0,3,3,3,4,3,1.0,0,0,,1,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,False,False,True,1,3,1,0,4,1,2,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
20,64.0,7980,155000.0,165000.0,183000.0,176242.5,6,7,1992,2007,0.0,935.0,0.0,233.0,1168.0,5,1187,0,0,1187,1.0,0.0,2,0,3,1,6,0,2.0,420.0,483,21,0,0,0,3,2010,185000,0,0,0,0,1,0,0,1,4,0,False,True,False,False,False,False,18.0,3,3,3,4,3,1.0,0,0,,1,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,3,1,0,5,1,2,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
60,63.0,8402,189000.0,165000.0,183000.0,185000.0,6,5,1998,1998,0.0,0.0,0.0,789.0,789.0,5,789,676,0,1465,0.0,0.0,2,1,3,1,7,1,2.0,393.0,0,75,0,0,0,5,2010,180400,0,0,0,1,0,0,0,1,0,0,False,True,False,False,False,False,12.0,3,3,3,4,3,1.0,0,0,,1,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,3,1,0,4,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,85.0,10176,155000.0,165000.0,183000.0,176242.5,7,5,1990,1990,0.0,637.0,0.0,663.0,1300.0,5,1341,0,0,1341,1.0,0.0,1,1,2,1,5,1,2.0,506.0,192,0,0,0,0,2,2010,171500,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,False,20.0,1,3,3,4,3,4.0,1,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,4,1,2,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
120,60.0,6820,155000.0,180000.0,319000.0,212000.0,8,5,1985,1985,0.0,368.0,1120.0,0.0,1488.0,5,1502,0,0,1502,1.0,0.0,1,1,1,1,4,0,2.0,528.0,0,54,0,0,140,6,2010,212000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,25.0,2,3,3,4,3,3.0,1,0,,1,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,3,1,3,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
60,47.0,53504,189000.0,165000.0,319000.0,401179.0,8,5,2003,2003,603.0,1416.0,0.0,234.0,1650.0,5,1690,1589,0,3279,1.0,0.0,3,1,4,1,12,1,3.0,841.0,503,36,0,0,210,6,2010,538000,0,0,0,1,0,0,0,1,0,2,False,False,False,True,False,False,7.0,3,3,3,4,3,4.0,0,0,,1,4,False,True,False,False,False,False,True,False,0,0,False,True,False,True,False,False,False,True,1,5,1,0,5,1,4,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,0,1,0,0,0,1,0
50,152.0,12134,129675.0,165000.0,183000.0,164000.0,8,7,1988,2005,0.0,427.0,0.0,132.0,559.0,5,1080,672,0,1752,0.0,0.0,2,0,4,1,8,0,2.0,492.0,325,12,0,0,0,6,2010,164000,0,0,0,0,1,0,0,1,0,0,False,False,True,False,False,False,22.0,2,3,3,4,3,3.0,1,0,,1,1,False,False,False,False,True,False,True,False,0,0,True,False,False,True,False,False,True,False,1,3,1,0,4,1,3,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4,0,1,0,0,0,1,0
20,88.0,11394,155000.0,165000.0,319000.0,387000.0,9,2,2010,2010,350.0,1445.0,0.0,411.0,1856.0,5,1856,0,0,1856,1.0,0.0,1,1,1,1,8,1,3.0,834.0,113,0,0,0,0,6,2010,394432,0,1,0,0,0,0,0,1,0,3,False,True,False,False,False,False,0.0,3,3,3,5,3,3.0,1,0,,0,2,True,False,False,False,False,True,False,False,0,0,False,True,False,True,False,False,False,True,1,5,1,0,5,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1,0,0,0,1,0,0
20,140.0,19138,155000.0,165000.0,183000.0,176242.5,4,5,1951,1951,0.0,120.0,0.0,744.0,864.0,5,864,0,0,864,0.0,0.0,1,0,2,1,4,0,2.0,400.0,0,0,0,0,0,6,2010,141000,0,0,0,0,1,0,0,1,0,0,False,False,False,False,False,True,59.0,1,3,3,3,3,1.0,0,0,,0,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,85.0,13175,155000.0,165000.0,181000.0,175500.0,6,6,1978,1988,119.0,790.0,163.0,589.0,1542.0,5,2073,0,0,2073,1.0,0.0,2,0,3,1,7,2,2.0,500.0,349,0,0,0,0,2,2010,210000,0,0,0,0,0,0,1,1,3,3,False,True,False,False,False,False,32.0,1,3,3,4,3,1.0,0,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,0,1,0,0,0,1,0
20,105.0,11751,155000.0,165000.0,181000.0,175500.0,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,5,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,2.0,546.0,0,122,0,0,0,1,2010,190000,0,0,0,0,0,0,1,1,3,2,False,True,False,False,False,False,33.0,2,3,3,4,3,1.0,0,0,,1,2,False,False,False,False,True,True,False,False,0,0,False,True,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,0,0,1,0,0,1,0
85,85.0,10625,143000.0,165000.0,181000.0,170000.0,7,6,1974,1974,81.0,885.0,168.0,0.0,1053.0,5,1173,0,0,1173,1.0,0.0,2,0,3,1,6,2,2.0,528.0,0,120,0,0,0,1,2010,170000,0,0,0,0,0,0,1,1,3,2,False,True,False,False,False,False,36.0,2,3,3,4,3,4.0,1,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,4,1,0,3,1,2,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,0,1,0,0,0,0,1
60,72.5,7500,189000.0,165000.0,225500.0,250000.0,7,5,2000,2000,0.0,533.0,0.0,281.0,814.0,5,814,860,0,1674,1.0,0.0,2,1,3,1,7,0,2.0,663.0,0,96,0,0,0,1,2010,216000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,10.0,2,3,3,4,3,1.0,1,0,4.0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,73.0,11241,155000.0,165000.0,140000.0,140000.0,6,7,1970,1970,180.0,578.0,0.0,426.0,1004.0,5,1004,0,0,1004,1.0,0.0,1,0,2,1,5,1,2.0,480.0,0,0,0,0,0,3,2010,149000,0,0,0,0,0,0,1,1,0,2,False,True,False,False,False,False,40.0,3,3,3,3,3,1.0,0,0,,1,2,False,True,False,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4,0,1,0,0,0,1,0
20,73.0,12537,155000.0,165000.0,140000.0,140000.0,5,6,1971,2008,0.0,734.0,0.0,344.0,1078.0,5,1078,0,0,1078,1.0,0.0,1,1,3,1,6,1,2.0,500.0,0,0,0,0,0,4,2010,149900,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,39.0,3,3,3,3,3,1.0,1,0,,1,2,False,True,False,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,65.0,8450,155000.0,165000.0,140000.0,140000.0,5,6,1968,1968,0.0,775.0,0.0,281.0,1056.0,5,1056,0,0,1056,1.0,0.0,1,0,3,1,6,1,1.0,304.0,0,85,184,0,0,7,2010,142000,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,42.0,1,3,3,3,3,1.0,0,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,70.0,8400,155000.0,165000.0,140000.0,140000.0,4,5,1970,1970,0.0,804.0,78.0,0.0,882.0,5,882,0,0,882,1.0,0.0,1,0,2,1,4,0,2.0,525.0,240,0,0,0,0,4,2010,126000,0,0,0,0,1,0,0,1,3,0,False,True,False,False,False,False,40.0,3,3,3,3,3,1.0,0,0,,0,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,0,1,0,0,0,1,0
20,70.0,10500,155000.0,165000.0,140000.0,140000.0,4,5,1971,1971,0.0,432.0,0.0,432.0,864.0,5,864,0,0,864,0.0,0.0,1,0,3,1,5,1,0.0,0.0,0,0,0,0,0,4,2010,115000,0,0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,115.0,0,0,0,3,3,1.0,0,0,,0,2,False,False,True,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,1,0,0,1,0
120,26.0,5858,155000.0,180000.0,140000.0,181000.0,7,5,1999,1999,0.0,1051.0,0.0,354.0,1405.0,5,1337,0,0,1337,1.0,0.0,2,0,2,1,5,1,2.0,511.0,203,68,0,0,0,6,2010,184000,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,11.0,3,3,3,4,3,1.0,1,0,3.0,1,2,False,False,True,False,False,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,0,1,0,0,0,1,0
160,21.0,1680,189000.0,130000.0,106000.0,105750.0,6,5,1971,1971,504.0,156.0,0.0,327.0,483.0,5,483,504,0,987,0.0,0.0,1,1,2,1,5,0,1.0,264.0,275,0,0,0,0,2,2010,96000,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,39.0,1,3,3,3,3,1.0,0,0,5.0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,1,0,0,1,0
160,21.0,1680,189000.0,130000.0,106000.0,105750.0,5,5,1971,1971,492.0,300.0,0.0,225.0,525.0,5,525,567,0,1092,0.0,0.0,1,1,3,1,6,0,1.0,320.0,0,0,0,0,0,3,2010,105500,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,13.0,1,3,3,3,3,1.0,0,0,5.0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
160,21.0,1680,189000.0,130000.0,106000.0,105750.0,6,5,1971,1971,381.0,0.0,0.0,525.0,525.0,5,525,567,0,1092,0.0,0.0,1,1,3,1,6,0,1.0,264.0,0,0,0,0,0,3,2010,88000,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,39.0,1,3,3,3,3,1.0,0,0,5.0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,1,0,0,0,0,1
120,53.0,4043,155000.0,180000.0,143750.0,134250.0,6,5,1977,1977,0.0,360.0,0.0,709.0,1069.0,5,1069,0,0,1069,0.0,0.0,2,0,2,1,4,1,2.0,440.0,0,55,0,0,165,7,2010,127500,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,33.0,2,3,3,4,3,1.0,0,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,3,1,2,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4,0,1,0,0,0,1,0
160,24.0,2280,189000.0,130000.0,143750.0,147250.0,6,6,1975,1975,0.0,514.0,0.0,341.0,855.0,5,855,601,0,1456,0.0,0.0,2,1,3,1,6,1,2.0,440.0,173,0,0,0,0,6,2010,149900,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,35.0,1,3,3,3,3,1.0,0,0,,0,2,False,False,True,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,4,1,0,3,1,2,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,4,0,1,0,0,0,1,0
120,24.0,2280,155000.0,130000.0,143750.0,137500.0,7,6,1975,1975,0.0,0.0,0.0,836.0,836.0,5,836,0,0,836,0.0,0.0,1,0,2,1,4,0,1.0,308.0,0,30,0,0,0,6,2010,120000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,35.0,1,3,3,4,3,1.0,0,0,,0,2,False,False,True,False,False,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,5,1,2,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,4,0,1,0,0,0,1,0
160,24.0,2280,189000.0,130000.0,143750.0,147250.0,6,5,1978,1978,0.0,311.0,0.0,544.0,855.0,5,855,601,0,1456,0.0,0.0,2,1,3,1,7,1,2.0,440.0,26,0,0,0,0,7,2010,146000,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,32.0,1,3,3,4,3,1.0,0,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,True,False,False,1,3,1,0,2,1,2,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,4,0,1,0,0,0,1,0
60,102.0,12858,189000.0,165000.0,317750.0,342321.5,9,5,2009,2010,162.0,0.0,0.0,1590.0,1590.0,5,1627,707,0,2334,0.0,0.0,2,1,3,1,10,1,3.0,751.0,144,133,0,0,0,1,2010,376162,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,1.0,3,3,3,5,3,1.0,0,0,,1,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,5,1,0,5,1,4,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1,0,0,0,1,0,0
20,98.0,11478,155000.0,165000.0,317750.0,336250.0,8,5,2007,2008,200.0,1218.0,0.0,486.0,1704.0,5,1704,0,0,1704,1.0,0.0,2,0,3,1,7,1,3.0,772.0,0,50,0,0,0,5,2010,306000,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,2.0,2,3,3,5,3,1.0,1,0,,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
20,83.0,10159,155000.0,165000.0,317750.0,336250.0,9,5,2009,2010,450.0,1646.0,0.0,284.0,1930.0,5,1940,0,0,1940,1.0,0.0,2,1,3,1,8,1,3.0,606.0,168,95,0,0,0,4,2010,395192,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,0.0,3,3,3,5,3,3.0,1,0,,1,2,False,False,False,False,True,True,False,False,0,0,False,True,False,True,False,False,False,True,1,5,1,0,5,1,4,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1,0,0,0,1,0,0
20,94.0,12883,155000.0,165000.0,317750.0,336250.0,8,5,2009,2010,256.0,0.0,0.0,1544.0,1544.0,5,1544,0,0,1544,0.0,0.0,2,0,3,1,7,0,3.0,868.0,0,35,0,0,0,6,2010,290941,0,0,0,0,1,0,0,1,0,3,False,True,False,False,False,False,1.0,2,3,3,4,3,1.0,0,0,,1,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1,0,0,0,1,0,0
20,95.0,12182,155000.0,165000.0,317750.0,336250.0,7,5,2005,2005,226.0,1201.0,0.0,340.0,1541.0,5,1541,0,0,1541,0.0,0.0,2,0,3,1,7,1,2.0,532.0,0,70,0,0,0,5,2010,220000,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,5.0,2,3,3,4,3,2.0,0,0,,0,2,True,False,False,False,False,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,1,0,0,0,1,0,0
