MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,hasPool,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,Paved_Street,Fence_Quality,MasVnr_Quality,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,Garage_Age,GarageFinish_encoded,Garage_Cond,Garage_Qual,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Has_Good_BsmtFin1,Has_Good_BsmtFin2
60,RL,75.0,10000,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,0.0,0.0,763.0,763.0,GasA,Gd,Y,5,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,Typ,1,2.0,440.0,Y,157,84,0,0,0,4,2010,WD ,Normal,175900,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,17.0,3,3,3,4,3,1.0,0,0
20,RL,64.0,7980,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Gd,PConc,935.0,0.0,233.0,1168.0,GasA,Ex,Y,5,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,2.0,420.0,Y,483,21,0,0,0,3,2010,WD ,Normal,185000,0,0,0,0,1,0,0,1,4,0,False,True,False,False,False,False,18.0,3,3,3,4,3,1.0,0,0
60,RL,63.0,8402,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,0.0,0.0,789.0,789.0,GasA,Gd,Y,5,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,Typ,1,2.0,393.0,Y,0,75,0,0,0,5,2010,WD ,Normal,180400,0,0,0,1,0,0,0,1,0,0,False,True,False,False,False,False,12.0,3,3,3,4,3,1.0,0,0
20,RL,85.0,10176,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,637.0,0.0,663.0,1300.0,GasA,Gd,Y,5,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,1,2.0,506.0,Y,192,0,0,0,0,2,2010,WD ,Normal,171500,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,False,20.0,1,3,3,4,3,4.0,1,0
120,RL,60.0,6820,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,368.0,1120.0,0.0,1488.0,GasA,TA,Y,5,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,0,2.0,528.0,Y,0,54,0,0,140,6,2010,WD ,Normal,212000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,25.0,2,3,3,4,3,3.0,1,0
60,RL,47.0,53504,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,603.0,Ex,TA,PConc,1416.0,0.0,234.0,1650.0,GasA,Ex,Y,5,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,1,3.0,841.0,Y,503,36,0,0,210,6,2010,WD ,Normal,538000,0,0,0,1,0,0,0,1,0,2,False,False,False,True,False,False,7.0,3,3,3,4,3,4.0,0,0
50,RL,152.0,12134,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,TA,Wood,427.0,0.0,132.0,559.0,GasA,Gd,Y,5,1080,672,0,1752,0.0,0.0,2,0,4,1,TA,8,Typ,0,2.0,492.0,Y,325,12,0,0,0,6,2010,WD ,Normal,164000,0,0,0,0,1,0,0,1,0,0,False,False,True,False,False,False,22.0,2,3,3,4,3,3.0,1,0
20,RL,88.0,11394,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,350.0,Gd,TA,PConc,1445.0,0.0,411.0,1856.0,GasA,Ex,Y,5,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,1,3.0,834.0,Y,113,0,0,0,0,6,2010,New,Partial,394432,0,1,0,0,0,0,0,1,0,3,False,True,False,False,False,False,0.0,3,3,3,5,3,3.0,1,0
20,RL,140.0,19138,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,120.0,0.0,744.0,864.0,GasA,Ex,Y,5,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,Typ,0,2.0,400.0,Y,0,0,0,0,0,6,2010,WD ,Normal,141000,0,0,0,0,1,0,0,1,0,0,False,False,False,False,False,True,59.0,1,3,3,3,3,1.0,0,0
20,RL,85.0,13175,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,119.0,TA,TA,CBlock,790.0,163.0,589.0,1542.0,GasA,TA,Y,5,2073,0,0,2073,1.0,0.0,2,0,3,1,TA,7,Min1,2,2.0,500.0,Y,349,0,0,0,0,2,2010,WD ,Normal,210000,0,0,0,0,0,0,1,1,3,3,False,True,False,False,False,False,32.0,1,3,3,4,3,1.0,0,0
20,RL,105.0,11751,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,480.0,TA,TA,CBlock,705.0,0.0,1139.0,1844.0,GasA,Ex,Y,5,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,2.0,546.0,Y,0,122,0,0,0,1,2010,COD,Normal,190000,0,0,0,0,0,0,1,1,3,2,False,True,False,False,False,False,33.0,2,3,3,4,3,1.0,0,0
85,RL,85.0,10625,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,81.0,TA,TA,CBlock,885.0,168.0,0.0,1053.0,GasA,TA,Y,5,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,2,2.0,528.0,Y,0,120,0,0,0,1,2010,WD ,Family,170000,0,0,0,0,0,0,1,1,3,2,False,True,False,False,False,False,36.0,2,3,3,4,3,4.0,1,0
60,FV,72.5,7500,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,533.0,0.0,281.0,814.0,GasA,Ex,Y,5,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,2.0,663.0,Y,0,96,0,0,0,1,2010,WD ,Normal,216000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,10.0,2,3,3,4,3,1.0,1,0
20,RL,73.0,11241,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,578.0,0.0,426.0,1004.0,GasA,Ex,Y,5,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,2.0,480.0,Y,0,0,0,0,0,3,2010,WD ,Normal,149000,0,0,0,0,0,0,1,1,0,2,False,True,False,False,False,False,40.0,3,3,3,3,3,1.0,0,0
20,RL,73.0,12537,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,734.0,0.0,344.0,1078.0,GasA,Ex,Y,5,1078,0,0,1078,1.0,0.0,1,1,3,1,TA,6,Typ,1,2.0,500.0,Y,0,0,0,0,0,4,2010,WD ,Normal,149900,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,39.0,3,3,3,3,3,1.0,1,0
20,RL,65.0,8450,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,775.0,0.0,281.0,1056.0,GasA,Ex,Y,5,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,Typ,1,1.0,304.0,Y,0,85,184,0,0,7,2010,WD ,Normal,142000,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,42.0,1,3,3,3,3,1.0,0,0
20,RL,70.0,8400,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,804.0,78.0,0.0,882.0,GasA,TA,Y,5,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,2.0,525.0,Y,240,0,0,0,0,4,2010,WD ,Normal,126000,0,0,0,0,1,0,0,1,3,0,False,True,False,False,False,False,40.0,3,3,3,3,3,1.0,0,0
20,RL,70.0,10500,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,432.0,0.0,432.0,864.0,GasA,TA,Y,5,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,1,0.0,0.0,Y,0,0,0,0,0,4,2010,ConLI,Normal,115000,0,0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,115.0,0,0,0,3,3,1.0,0,0
120,RH,26.0,5858,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,1051.0,0.0,354.0,1405.0,GasA,Ex,Y,5,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,2.0,511.0,Y,203,68,0,0,0,6,2010,WD ,Normal,184000,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,11.0,3,3,3,4,3,1.0,1,0
160,RM,21.0,1680,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,504.0,TA,TA,CBlock,156.0,0.0,327.0,483.0,GasA,TA,Y,5,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,1.0,264.0,Y,275,0,0,0,0,2,2010,COD,Normal,96000,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,39.0,1,3,3,3,3,1.0,0,0
160,RM,21.0,1680,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,492.0,TA,TA,CBlock,300.0,0.0,225.0,525.0,GasA,TA,Y,5,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,1.0,320.0,Y,0,0,0,0,0,3,2010,WD ,Normal,105500,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,13.0,1,3,3,3,3,1.0,0,0
160,RM,21.0,1680,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,381.0,TA,TA,CBlock,0.0,0.0,525.0,525.0,GasA,TA,Y,5,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,1.0,264.0,Y,0,0,0,0,0,3,2010,WD ,Family,88000,0,0,0,0,1,0,0,1,0,2,False,False,False,False,False,True,39.0,1,3,3,3,3,1.0,0,0
120,RL,53.0,4043,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,360.0,0.0,709.0,1069.0,GasA,TA,Y,5,1069,0,0,1069,0.0,0.0,2,0,2,1,TA,4,Typ,1,2.0,440.0,Y,0,55,0,0,165,7,2010,WD ,Normal,127500,0,0,1,0,0,0,0,1,0,0,False,True,False,False,False,False,33.0,2,3,3,4,3,1.0,0,0
160,RL,24.0,2280,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,514.0,0.0,341.0,855.0,GasA,TA,Y,5,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,2.0,440.0,Y,173,0,0,0,0,6,2010,WD ,Normal,149900,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,35.0,1,3,3,3,3,1.0,0,0
120,RL,24.0,2280,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,0.0,0.0,836.0,836.0,GasA,Ex,Y,5,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,Typ,0,1.0,308.0,Y,0,30,0,0,0,6,2010,WD ,Normal,120000,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,35.0,1,3,3,4,3,1.0,0,0
160,RL,24.0,2280,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,311.0,0.0,544.0,855.0,GasA,Fa,Y,5,855,601,0,1456,0.0,0.0,2,1,3,1,TA,7,Typ,1,2.0,440.0,Y,26,0,0,0,0,7,2010,WD ,Normal,146000,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,32.0,1,3,3,4,3,1.0,0,0
60,RL,102.0,12858,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,162.0,Ex,TA,PConc,0.0,0.0,1590.0,1590.0,GasA,Ex,Y,5,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,3.0,751.0,Y,144,133,0,0,0,1,2010,New,Partial,376162,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,1.0,3,3,3,5,3,1.0,0,0
20,RL,98.0,11478,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,1218.0,0.0,486.0,1704.0,GasA,Ex,Y,5,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,3.0,772.0,Y,0,50,0,0,0,5,2010,WD ,Normal,306000,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,2.0,2,3,3,5,3,1.0,1,0
20,RL,83.0,10159,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,450.0,Ex,TA,PConc,1646.0,0.0,284.0,1930.0,GasA,Ex,Y,5,1940,0,0,1940,1.0,0.0,2,1,3,1,Ex,8,Typ,1,3.0,606.0,Y,168,95,0,0,0,4,2010,New,Partial,395192,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,0.0,3,3,3,5,3,3.0,1,0
20,RL,94.0,12883,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,256.0,Gd,TA,PConc,0.0,0.0,1544.0,1544.0,GasA,Ex,Y,5,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,0,3.0,868.0,Y,0,35,0,0,0,6,2010,New,Partial,290941,0,0,0,0,1,0,0,1,0,3,False,True,False,False,False,False,1.0,2,3,3,4,3,1.0,0,0
20,RL,95.0,12182,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,226.0,Gd,TA,PConc,1201.0,0.0,340.0,1541.0,GasA,Ex,Y,5,1541,0,0,1541,0.0,0.0,2,0,3,1,Gd,7,Typ,1,2.0,532.0,Y,0,70,0,0,0,5,2010,New,Partial,220000,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,5.0,2,3,3,4,3,2.0,0,0
20,RL,90.0,11520,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,615.0,Gd,TA,PConc,110.0,0.0,1588.0,1698.0,GasA,Ex,Y,5,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,1,3.0,730.0,Y,192,74,0,0,0,6,2010,WD ,Normal,275000,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,5.0,3,3,3,5,3,1.0,1,0
20,RL,79.0,14122,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,240.0,Gd,TA,PConc,28.0,0.0,1794.0,1822.0,GasA,Ex,Y,5,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,Typ,1,3.0,678.0,Y,0,119,0,0,0,2,2010,WD ,Normal,259000,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,5.0,2,3,3,5,3,1.0,1,0
20,RL,70.0,10171,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,168.0,Gd,TA,PConc,2.0,0.0,1515.0,1517.0,GasA,Ex,Y,5,1535,0,0,1535,0.0,0.0,2,0,3,1,Gd,7,Typ,0,2.0,532.0,Y,0,0,0,0,0,3,2010,WD ,Normal,214000,0,0,0,0,1,0,0,1,0,2,False,True,False,False,False,False,6.0,2,3,3,4,3,1.0,1,0
20,RL,100.0,12919,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,760.0,Ex,TA,PConc,2188.0,0.0,142.0,2330.0,GasA,Ex,Y,5,2364,0,0,2364,1.0,0.0,2,1,2,1,Ex,11,Typ,2,3.0,820.0,Y,0,67,0,0,0,3,2010,New,Partial,611657,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,1.0,3,3,3,5,3,4.0,1,0
120,RL,44.0,6371,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,128.0,Gd,TA,PConc,733.0,0.0,625.0,1358.0,GasA,Ex,Y,5,1358,0,0,1358,1.0,0.0,2,0,2,1,Gd,6,Typ,1,2.0,484.0,Y,192,35,0,0,0,6,2010,New,Partial,224000,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,0.0,2,3,3,4,3,2.0,1,0
20,RL,110.0,14300,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,1095.0,Ex,TA,PConc,1373.0,0.0,1473.0,2846.0,GasA,Ex,Y,5,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,Typ,2,3.0,958.0,Y,220,150,0,0,0,6,2010,WD ,Normal,500000,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,7.0,3,3,3,5,3,4.0,1,0
60,RL,105.0,13650,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,232.0,Gd,TA,PConc,578.0,0.0,1093.0,1671.0,GasA,Ex,Y,5,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,Typ,1,3.0,756.0,Y,238,130,0,0,0,6,2010,WD ,Normal,320000,0,1,0,0,0,0,0,1,0,2,False,True,False,False,False,False,8.0,3,3,3,4,3,4.0,1,0
